threshold,tn,fp,fn,tp,precision,recall,f1,f2,false_positive_rate,false_negative_rate,total_cost
0.05,392,1961,9,498,0.20252135014233427,0.9822485207100592,0.33580579905596764,0.5549364831736127,0.8334041648958777,0.01775147928994083,2006
0.060000000000000005,573,1780,19,488,0.21516754850088182,0.9625246548323472,0.3517117117117117,0.5679702048417132,0.7564810879728007,0.03747534516765286,1875
0.07,711,1642,29,478,0.22547169811320755,0.9428007889546351,0.3639132089836315,0.5761812921890067,0.6978325541861453,0.05719921104536489,1787
0.08000000000000002,846,1507,35,472,0.2385042950985346,0.9309664694280079,0.3797264682220434,0.5889693037184927,0.6404589885252868,0.06903353057199212,1682
0.09000000000000001,961,1392,44,463,0.2495956873315364,0.9132149901380671,0.3920406435224386,0.5961885140355395,0.5915852103697408,0.08678500986193294,1612
0.1,1057,1296,53,454,0.25942857142857145,0.8954635108481263,0.40230394328754987,0.6008470089994706,0.5507862303442413,0.10453648915187377,1561
0.11000000000000001,1154,1199,66,441,0.26890243902439026,0.8698224852071006,0.41080577550069863,0.601145038167939,0.5095622609434765,0.1301775147928994,1529
0.12000000000000001,1247,1106,73,434,0.2818181818181818,0.8560157790927022,0.4240351734245237,0.6081838565022422,0.4700382490437739,0.14398422090729784,1471
0.13,1312,1041,88,419,0.28698630136986303,0.8264299802761341,0.42602948652770717,0.6006307339449541,0.4424139396515087,0.17357001972386588,1481
0.14,1381,972,101,406,0.2946298984034833,0.8007889546351085,0.4307692307692308,0.5960070463887258,0.41308967275818104,0.1992110453648915,1477
0.15000000000000002,1452,901,117,390,0.3020914020139427,0.7692307692307693,0.43381535038932145,0.5875263633624586,0.38291542711432214,0.23076923076923078,1486
0.16000000000000003,1526,827,132,375,0.3119800332778702,0.7396449704142012,0.43885313048566416,0.5804953560371517,0.3514662133446664,0.2603550295857988,1487
0.17000000000000004,1584,769,144,363,0.3206713780918728,0.7159763313609467,0.4429530201342282,0.5743670886075949,0.3268168295792605,0.28402366863905326,1489
0.18000000000000005,1638,715,150,357,0.33302238805970147,0.7041420118343196,0.45218492716909436,0.5758064516129032,0.30386740331491713,0.2958579881656805,1465
0.19,1689,664,159,348,0.3438735177865613,0.6863905325443787,0.45819618169848586,0.5723684210526315,0.2821929451763706,0.3136094674556213,1459
0.2,1727,626,175,332,0.3465553235908142,0.6548323471400395,0.45324232081911264,0.5559276624246483,0.26604334891627707,0.34516765285996054,1501
0.21000000000000002,1764,589,190,317,0.3498896247240618,0.6252465483234714,0.448690728945506,0.5402181322426721,0.2503187420314492,0.3747534516765286,1539
0.22000000000000003,1799,554,198,309,0.35805330243337197,0.6094674556213018,0.4510948905109489,0.5344171566931858,0.23544411389715258,0.3905325443786982,1544
0.23000000000000004,1844,509,214,293,0.3653366583541147,0.5779092702169625,0.4476699770817418,0.5176678445229682,0.21631959201019973,0.42209072978303747,1579
0.24000000000000005,1881,472,225,282,0.3740053050397878,0.5562130177514792,0.44726407613005553,0.5068296189791517,0.20059498512537186,0.4437869822485207,1597
0.25000000000000006,1906,447,236,271,0.3774373259052925,0.534516765285996,0.4424489795918367,0.4934450109249818,0.18997025074373142,0.46548323471400394,1627
0.26000000000000006,1933,420,247,260,0.38235294117647056,0.5128205128205128,0.43807919123841615,0.48005908419497784,0.1784955376115597,0.48717948717948717,1655
0.27,1962,391,256,251,0.3909657320872274,0.49506903353057197,0.43690165361183636,0.4700374531835206,0.1661708457288568,0.504930966469428,1671
0.28,1989,364,271,236,0.3933333333333333,0.46548323471400394,0.42637759710930445,0.4490106544901065,0.15469613259668508,0.534516765285996,1719
0.29000000000000004,2011,342,278,229,0.4010507880910683,0.4516765285996055,0.424860853432282,0.44055405925355906,0.14534636634084147,0.5483234714003945,1732
